# step, loss function, Y0, learning rate, running time
2.200000000000000000e+01,2.063696707437596284e-02,5.133210403002018696e-01,1.000000047497451305e-03,3.872297048568725586e+00
2.300000000000000000e+01,1.918503719859172493e-02,5.130613990928553081e-01,1.000000047497451305e-03,3.889312028884887695e+00
2.400000000000000000e+01,7.230882125033635810e-02,5.128257253704864294e-01,1.000000047497451305e-03,3.904324531555175781e+00
2.500000000000000000e+01,1.103546961691031364e-01,5.123048610542411119e-01,1.000000047497451305e-03,3.928344964981079102e+00
2.600000000000000000e+01,2.256792331236972399e-02,5.116994218600694477e-01,1.000000047497451305e-03,3.944358587265014648e+00
2.700000000000000000e+01,6.857466962531885354e-03,5.114212726277511667e-01,1.000000047497451305e-03,3.959371328353881836e+00
2.800000000000000000e+01,8.196346231888661238e-03,5.115709173114173502e-01,1.000000047497451305e-03,3.974384069442749023e+00
2.900000000000000000e+01,7.156906573519627665e-05,5.114183337996410783e-01,1.000000047497451305e-03,3.989897012710571289e+00
3.000000000000000000e+01,1.030580072030286634e-02,5.114114015607631458e-01,1.000000047497451305e-03,4.004909992218017578e+00
3.100000000000000000e+01,7.565510997745394928e-02,5.112377263674778849e-01,1.000000047497451305e-03,4.019922256469726562e+00
3.200000000000000000e+01,4.256130784657490007e-02,5.107062750651031324e-01,1.000000047497451305e-03,4.039439678192138672e+00
3.300000000000000000e+01,7.352012851623380215e-05,5.103307016570773902e-01,1.000000047497451305e-03,4.057454109191894531e+00
3.400000000000000000e+01,3.218502739616662528e-02,5.103258873822545949e-01,1.000000047497451305e-03,4.072968244552612305e+00
3.500000000000000000e+01,1.283409139769285320e-02,5.100044215590787688e-01,1.000000047497451305e-03,4.089482307434082031e+00
3.600000000000000000e+01,2.824582535085539137e-01,5.098029556626437753e-01,1.000000047497451305e-03,4.104995012283325195e+00
3.700000000000000000e+01,8.052414216723455254e-02,5.086644759136037530e-01,1.000000047497451305e-03,4.120508193969726562e+00
3.800000000000000000e+01,1.428480422544555753e-03,5.081278993143054645e-01,1.000000047497451305e-03,4.135520696640014648e+00
3.900000000000000000e+01,2.926126160254086117e-02,5.081933199060412187e-01,1.000000047497451305e-03,4.150533914566040039e+00
4.000000000000000000e+01,2.787812739043209545e-02,5.078735603216865124e-01,1.000000047497451305e-03,4.165546417236328125e+00
4.100000000000000000e+01,8.423748942669920248e-02,5.081391095394743873e-01,1.000000047497451305e-03,4.181560039520263672e+00
4.200000000000000000e+01,2.457227180806232855e-02,5.076063211747744441e-01,1.000000047497451305e-03,4.196572542190551758e+00
4.300000000000000000e+01,5.751617901130062771e-02,5.073331866948634916e-01,1.000000047497451305e-03,4.211585521697998047e+00
