# step, loss function, Y0, running time
5.000000000000000000e+01,1.504661560058593750e+01,5.308190822601318359e+00,6.762891387939453125e+01
1.000000000000000000e+02,6.718225479125976562e+00,6.720239639282226562e+00,8.181595778465270996e+01
1.500000000000000000e+02,1.078157615661621094e+01,6.902814388275146484e+00,9.598498678207397461e+01
2.000000000000000000e+02,5.765645980834960938e+00,6.901365280151367188e+00,1.103927180767059326e+02
2.500000000000000000e+02,6.399906635284423828e+00,6.693958282470703125e+00,1.246202964782714844e+02
3.000000000000000000e+02,5.673639297485351562e+00,6.896260738372802734e+00,1.387893254756927490e+02
3.500000000000000000e+02,9.228775024414062500e+00,6.786429882049560547e+00,1.529463441371917725e+02
4.000000000000000000e+02,7.129331588745117188e+00,6.793852806091308594e+00,1.670593252182006836e+02
4.500000000000000000e+02,6.701071739196777344e+00,6.794917106628417969e+00,1.811993293762207031e+02
5.000000000000000000e+02,7.348978996276855469e+00,6.591279983520507812e+00,1.953873744010925293e+02
5.500000000000000000e+02,1.027293586730957031e+01,6.847452163696289062e+00,2.101574134826660156e+02
6.000000000000000000e+02,6.169238090515136719e+00,6.947267532348632812e+00,2.247072656154632568e+02
6.500000000000000000e+02,8.294815063476562500e+00,6.871739387512207031e+00,2.390779657363891602e+02
7.000000000000000000e+02,8.951082229614257812e+00,6.898496150970458984e+00,2.533080456256866455e+02
7.500000000000000000e+02,4.724268436431884766e+00,6.643601417541503906e+00,2.675416300296783447e+02
8.000000000000000000e+02,9.358198165893554688e+00,6.732038974761962891e+00,2.817256712913513184e+02
8.500000000000000000e+02,7.653870582580566406e+00,7.113282680511474609e+00,2.958336482048034668e+02
9.000000000000000000e+02,7.608461380004882812e+00,6.682316780090332031e+00,3.099576387405395508e+02
9.500000000000000000e+02,1.114139938354492188e+01,6.566869258880615234e+00,3.241677026748657227e+02
1.000000000000000000e+03,8.427371978759765625e+00,6.599222183227539062e+00,3.384373166561126709e+02
