# step, loss function, Y0, learning rate, running time
3.800000000000000000e+01,1.706214661439819338e+03,2.917158081628653221e+01,1.000000000000000000e+00,2.400999236106872559e+01
3.900000000000000000e+01,8.462321590101171296e+02,2.963667645193444855e+01,1.000000000000000000e+00,2.409352254867553711e+01
4.000000000000000000e+01,9.428562748406043283e+02,3.011024591786738469e+01,1.000000000000000000e+00,2.418059659004211426e+01
4.100000000000000000e+01,1.241630511237234032e+03,3.059380563715691537e+01,1.000000000000000000e+00,2.426692652702331543e+01
4.200000000000000000e+01,1.421084467680730995e+03,3.109052461835299397e+01,1.000000000000000000e+00,2.435134911537170410e+01
4.300000000000000000e+01,1.026632994839771072e+03,3.161362644781562992e+01,1.000000000000000000e+00,2.444376611709594727e+01
4.400000000000000000e+01,9.345387291089120936e+02,3.215792545785149059e+01,1.000000000000000000e+00,2.452830004692077637e+01
4.500000000000000000e+01,1.068640834407089187e+03,3.268989677254636916e+01,1.000000000000000000e+00,2.461408829689025879e+01
4.600000000000000000e+01,8.950334682255083862e+02,3.322398766633689604e+01,1.000000000000000000e+00,2.470516562461853027e+01
4.700000000000000000e+01,7.229943764834556532e+02,3.376375331052933859e+01,1.000000000000000000e+00,2.478960371017456055e+01
4.800000000000000000e+01,6.366397781959798294e+02,3.429951864923828708e+01,1.000000000000000000e+00,2.487754893302917480e+01
4.900000000000000000e+01,9.753952790962426889e+02,3.482222848781510294e+01,1.000000000000000000e+00,2.496434569358825684e+01
5.000000000000000000e+01,7.249997898213110830e+02,3.535613171208322569e+01,1.000000000000000000e+00,2.504952979087829590e+01
5.100000000000000000e+01,7.975062277282283958e+02,3.589150432969206150e+01,1.000000000000000000e+00,2.513688230514526367e+01
5.200000000000000000e+01,8.528095022241358265e+02,3.643251326262117118e+01,1.000000000000000000e+00,2.522176551818847656e+01
5.300000000000000000e+01,5.787646158249735890e+02,3.698380451875006258e+01,1.000000000000000000e+00,2.530911850929260254e+01
5.400000000000000000e+01,7.222561261811626991e+02,3.752224459626207675e+01,1.000000000000000000e+00,2.539435219764709473e+01
5.500000000000000000e+01,9.353026127634581144e+02,3.805538336751260431e+01,1.000000000000000000e+00,2.548169374465942383e+01
5.600000000000000000e+01,6.983920147603706710e+02,3.859650821859616343e+01,1.000000000000000000e+00,2.556692004203796387e+01
5.700000000000000000e+01,7.404106256745743622e+02,3.912644192396687259e+01,1.000000000000000000e+00,2.565234446525573730e+01
5.800000000000000000e+01,7.538009312298333953e+02,3.965506161795912021e+01,1.000000000000000000e+00,2.573681330680847168e+01
5.900000000000000000e+01,6.100370674402639679e+02,4.017599889261212809e+01,1.000000000000000000e+00,2.582221150398254395e+01
6.000000000000000000e+01,7.729300281076523333e+02,4.069013219790407021e+01,1.000000000000000000e+00,2.590606141090393066e+01
6.100000000000000000e+01,7.616477759169116553e+02,4.120384400189113450e+01,1.000000000000000000e+00,2.599203372001647949e+01
