# step, loss function, Y0, running time
7.650000000000000000e+03,1.679508300781250000e+03,8.053279876708984375e+01,1.631067032814025879e+02
7.700000000000000000e+03,1.550855834960937500e+03,8.103973388671875000e+01,1.640790288448333740e+02
7.750000000000000000e+03,1.687120971679687500e+03,8.295129394531250000e+01,1.650333395004272461e+02
7.800000000000000000e+03,1.009196166992187500e+03,7.822827148437500000e+01,1.659971570968627930e+02
7.850000000000000000e+03,9.078318481445312500e+02,7.966648101806640625e+01,1.669789910316467285e+02
7.900000000000000000e+03,5.518053588867187500e+02,7.784788513183593750e+01,1.679618251323699951e+02
7.950000000000000000e+03,4.340418701171875000e+02,7.773566436767578125e+01,1.689406559467315674e+02
8.000000000000000000e+03,3.638308715820312500e+02,7.974510192871093750e+01,1.699134819507598877e+02
8.050000000000000000e+03,4.061804809570312500e+02,7.767585754394531250e+01,1.708712952136993408e+02
8.100000000000000000e+03,2.832416992187500000e+02,7.796979522705078125e+01,1.718486249446868896e+02
8.150000000000000000e+03,2.373623657226562500e+02,7.810296630859375000e+01,1.728419685363769531e+02
8.200000000000000000e+03,1.596964263916015625e+02,7.865598297119140625e+01,1.738172967433929443e+02
8.250000000000000000e+03,1.390156860351562500e+02,7.745160675048828125e+01,1.748346598148345947e+02
8.300000000000000000e+03,1.405181732177734375e+02,7.757798004150390625e+01,1.758325071334838867e+02
8.350000000000000000e+03,8.355384826660156250e+01,7.671920013427734375e+01,1.768133397102355957e+02
8.400000000000000000e+03,9.262686157226562500e+01,7.736978912353515625e+01,1.777946729660034180e+02
8.450000000000000000e+03,1.372945556640625000e+02,7.807863616943359375e+01,1.787720024585723877e+02
8.500000000000000000e+03,6.527428436279296875e+01,7.743746948242187500e+01,1.797863640785217285e+02
8.550000000000000000e+03,6.082336044311523438e+01,7.756273651123046875e+01,1.807696983814239502e+02
8.600000000000000000e+03,5.101761627197265625e+01,7.791078186035156250e+01,1.817605395317077637e+02
8.650000000000000000e+03,5.900922775268554688e+01,7.810990905761718750e+01,1.827493791580200195e+02
8.700000000000000000e+03,5.870132827758789062e+01,7.734907531738281250e+01,1.837116961479187012e+02
8.750000000000000000e+03,3.686590957641601562e+01,7.769123840332031250e+01,1.846750140190124512e+02
8.800000000000000000e+03,4.346262359619140625e+01,7.795793151855468750e+01,1.856528439521789551e+02
8.850000000000000000e+03,3.509522628784179688e+01,7.768833160400390625e+01,1.866146605014801025e+02
8.900000000000000000e+03,4.210543441772460938e+01,7.745446014404296875e+01,1.875764770507812500e+02
8.950000000000000000e+03,4.673802566528320312e+01,7.774164581298828125e+01,1.885463001728057861e+02
9.000000000000000000e+03,5.530604553222656250e+01,7.804562377929687500e+01,1.895421454906463623e+02
9.050000000000000000e+03,4.450661468505859375e+01,7.788359832763671875e+01,1.905515027046203613e+02
9.100000000000000000e+03,3.185177421569824219e+01,7.768072509765625000e+01,1.915623607635498047e+02
9.150000000000000000e+03,2.879205017089843750e+02,7.584587097167968750e+01,1.925281808376312256e+02
9.200000000000000000e+03,2.185233154296875000e+02,7.847690582275390625e+01,1.934894969463348389e+02
9.250000000000000000e+03,2.073200531005859375e+02,7.702770233154296875e+01,1.944518134593963623e+02
9.300000000000000000e+03,2.266801910400390625e+02,7.733367919921875000e+01,1.954176335334777832e+02
9.350000000000000000e+03,2.037500457763671875e+02,7.828957366943359375e+01,1.963774485588073730e+02
9.400000000000000000e+03,2.304387512207031250e+02,7.773635101318359375e+01,1.973372633457183838e+02
9.450000000000000000e+03,1.842228088378906250e+02,7.797032165527343750e+01,1.983005812168121338e+02
9.500000000000000000e+03,2.161669006347656250e+02,7.859104919433593750e+01,1.992598955631256104e+02
9.550000000000000000e+03,1.568211364746093750e+02,7.757308197021484375e+01,2.002177093029022217e+02
9.600000000000000000e+03,1.457388305664062500e+01,7.750762176513671875e+01,2.011810266971588135e+02
9.650000000000000000e+03,1.279774379730224609e+01,7.715624237060546875e+01,2.021393401622772217e+02
9.700000000000000000e+03,7.811044692993164062e+00,7.721652221679687500e+01,2.031006562709808350e+02
9.750000000000000000e+03,1.890943908691406250e+01,7.788504028320312500e+01,2.040594704151153564e+02
9.800000000000000000e+03,9.337292671203613281e+00,7.735946655273437500e+01,2.050147814750671387e+02
9.850000000000000000e+03,8.372482299804687500e+00,7.737243652343750000e+01,2.059790999889373779e+02
9.900000000000000000e+03,1.323138904571533203e+01,7.702705383300781250e+01,2.069464211463928223e+02
9.950000000000000000e+03,1.052186012268066406e+01,7.728002929687500000e+01,2.079307565689086914e+02
1.000000000000000000e+04,9.386681365966796875e+01,7.752792358398437500e+01,2.089135911464691162e+02
